year,practice_code,practice_name,region_ods_code,region_name,icb_ods_code,icb_name
2024-25,A81001,The Densham Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81002,Queens Park Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81004,Acklam Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81005,Springwood Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81006,Tennant Street Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81007,Bankhouse Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81009,Village Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81011,Chadwick Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81012,Westbourne Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81013,Brotton Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81014,Queenstree Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81016,Park Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81017,Woodbridge Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81018,Bentley Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81019,Crossfell Health Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81020,Martonside Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81021,Normanby Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81022,Hillside Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81023,The Endeavour Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81025,The Dovecot Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81026,Linthorpe Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81027,Yarm Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81029,Prospect Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81030,Borough Road & Nunthorpe Medical Group,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81031,Havelock Grange Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81032,The Garth,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81034,Thornaby & Barwick Medical Group,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81035,Newlands Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81036,Norton Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81037,The Erimus Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81038,Hirsel Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81039,Eaglescliffe Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81040,Marsh House Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81041,Hart Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81042,South Grange Medical Group Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81044,Mckenzie House Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81045,The Coatham Road Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81046,Woodlands Family Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81048,Zetland Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81049,Kings Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81051,Cambridge Medical Group,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81052,The Green House Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81053,Woodside Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81054,The Saltscar Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81056,Melrose Surgery,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81057,Kingsway Medical Centre,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81058,Coulby Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
2024-25,A81060,West Quay Medical Practice,Y63,North East and Yorkshire,QHM,NHS North East and North Cumbria Integrated Care Board
